SpecID,Subphylum
Spec741,Ascomycota
Spec676,Ascomycota
Spec749,Ascomycota
Spec738,Ascomycota
Spec749,Ascomycota
Spec750,Ascomycota
Spec750,Ascomycota
Spec736,Ascomycota
Spec751,Ascomycota
Spec751,Ascomycota
Spec752,Ascomycota
Spec753,Ascomycota
Spec754,Mucoromycota
Spec755,Ascomycota
Spec756,Ascomycota
Spec757,Ascomycota
Spec758,Ascomycota
Spec759,Basidiomycota
Spec760,Ascomycota
Spec761,Ascomycota
Spec762,Ascomycota
Spec763,Ascomycota
Spec764,Basidiomycota
Spec765,Ascomycota
Spec766,Ascomycota
Spec767,Ascomycota
Spec551,Ascomycota
Spec768,Basidiomycota
Spec769,Ascomycota
Spec770,Ascomycota
Spec771,Basidiomycota
Spec675,Ascomycota
Spec772,Ascomycota
Spec773,Ascomycota
Spec774,Basidiomycota
Spec775,Ascomycota
Spec776,Ascomycota
Spec777,Ascomycota
Spec778,Ascomycota
Spec779,Ascomycota
Spec780,Ascomycota
Spec781,Ascomycota
Spec782,Ascomycota
Spec783,Ascomycota
Spec784,Ascomycota
Spec785,Ascomycota
Spec786,Ascomycota
Spec787,Ascomycota
Spec788,Ascomycota
Spec789,Ascomycota
Spec790,Ascomycota
Spec761,Ascomycota
Spec760,Ascomycota
Spec791,Ascomycota
Spec792,Ascomycota
Spec793,Basidiomycota
Spec794,Basidiomycota
Spec795,Ascomycota
Spec589,Ascomycota
Spec796,Ascomycota
Spec761,Ascomycota
Spec792,Ascomycota
Spec797,Ascomycota
Spec798,Ascomycota
Spec589,Ascomycota
Spec799,Ascomycota
Spec800,Ascomycota
Spec801,Ascomycota
Spec802,Ascomycota
Spec803,Ascomycota
Spec804,Ascomycota
Spec805,Ascomycota
Spec806,Ascomycota
Spec807,Ascomycota
Spec808,Ascomycota
Spec809,Ascomycota
Spec810,Ascomycota
Spec811,Ascomycota
Spec812,Ascomycota
Spec813,Ascomycota
Spec814,Ascomycota
Spec815,Ascomycota
Spec816,Ascomycota
Spec817,Ascomycota
Spec818,Ascomycota
Spec819,Ascomycota
Spec820,Ascomycota
Spec821,Ascomycota
Spec822,Ascomycota
Spec821,Ascomycota
Spec823,Ascomycota
Spec824,Ascomycota
Spec825,Ascomycota
Spec826,Ascomycota
Spec827,Ascomycota
Spec768,Basidiomycota
Spec798,Ascomycota
Spec828,Ascomycota
Spec829,Ascomycota
Spec798,Ascomycota
Spec791,Ascomycota
Spec798,Ascomycota
Spec830,Basidiomycota
Spec831,Ascomycota
Spec832,Ascomycota
Spec833,Ascomycota
Spec834,Basidiomycota
Spec835,Ascomycota
Spec836,Ascomycota
Spec837,Ascomycota
Spec838,Ascomycota
Spec839,Ascomycota
Spec840,Ascomycota
Spec841,Ascomycota
Spec842,Ascomycota
Spec737,Ascomycota
Spec769,Ascomycota
Spec843,Ascomycota
Spec650,Ascomycota
Spec844,Mucoromycota
Spec2,Mucoromycota
Spec845,Ascomycota
Spec342,Ascomycota
Spec846,Ascomycota
Spec847,Ascomycota
Spec848,Ascomycota
Spec849,Ascomycota
Spec850,Ascomycota
Spec851,Ascomycota
Spec852,Ascomycota
Spec853,Ascomycota
Spec854,Ascomycota
Spec855,Ascomycota
Spec856,Ascomycota
Spec857,Ascomycota
Spec858,Ascomycota
Spec859,Ascomycota
Spec860,Ascomycota
Spec861,Ascomycota
Spec862,Ascomycota
Spec863,Ascomycota
Spec864,Ascomycota
Spec865,Ascomycota
Spec866,Ascomycota
Spec867,Ascomycota
Spec868,Ascomycota
Spec869,Ascomycota
Spec870,Ascomycota
Spec871,Ascomycota
Spec872,Ascomycota
Spec873,Ascomycota
Spec874,Ascomycota
Spec875,Ascomycota
Spec876,Ascomycota
Spec877,Ascomycota
Spec878,Ascomycota
Spec879,Ascomycota
Spec880,Ascomycota
Spec881,Ascomycota
Spec882,Ascomycota
Spec883,Ascomycota
Spec884,Ascomycota
Spec885,Ascomycota
Spec886,Ascomycota
Spec887,Ascomycota
Spec888,Ascomycota
Spec889,Ascomycota
Spec890,Ascomycota
Spec891,Ascomycota
Spec892,Ascomycota
Spec893,Ascomycota
Spec894,Ascomycota
Spec895,Ascomycota
Spec896,Ascomycota
Spec897,Ascomycota
Spec898,Ascomycota
Spec899,Ascomycota
Spec900,Ascomycota
Spec901,Ascomycota
Spec902,Ascomycota
Spec903,Ascomycota
Spec904,Ascomycota
Spec905,Ascomycota
Spec906,Ascomycota
Spec907,Ascomycota
Spec908,Ascomycota
Spec909,Ascomycota
Spec910,Ascomycota
Spec911,Ascomycota
Spec912,Ascomycota
Spec913,Ascomycota
Spec914,Ascomycota
Spec915,Ascomycota
Spec916,Ascomycota
Spec917,Ascomycota
